 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,FE_WT,TI_WT,CA_WT,SI_WT,AL_WT,MG_WT,NA_WT,O_WT,chi2
68.7529,19.6418,63.0706,19.5888,62.812,21.339,68.4792,21.8478,3.046336798,4.025500296,19.99999844,13.13129637,6.171407158,3.625461062,4.999999874,45,2.759576
69.1594,19.589,63.477,19.5441,63.2178,21.321,68.8852,21.8384,1.934510387,1.858880355,19.99995972,14.97582748,7.261138327,3.96968444,4.999999283,45,2.866084
69.5658,19.5345,63.8833,19.4982,63.6235,21.3027,69.2912,21.829,1.717117743,1.607446359,19.99999945,14.95610037,7.647173478,4.072312691,4.999849908,45,2.954621
69.9721,19.4778,64.2896,19.4509,64.0292,21.2838,69.697,21.8192,2.003163355,1.623921982,19.99999991,14.54566825,7.688659866,4.138586647,4.999999996,45,2.874587
70.3784,19.4186,64.6958,19.4021,64.4349,21.2644,70.103,21.8091,1.857184437,1.707480997,19.99997472,15.00650441,7.414347953,4.014507729,4.999999752,45,3.056317
70.7846,19.3574,65.1019,19.3519,64.8405,21.2446,70.5087,21.799,2.390451604,1.983081344,19.99999089,14.20889071,7.502614231,3.91497344,4.999997778,45,3.247358
71.1908,19.2929,65.508,19.3,65.246,21.2242,70.9147,21.7879,2.212746374,1.669309033,19.99999993,14.53490847,7.776090358,3.807112456,4.999833383,45,3.190203
71.5968,19.2265,65.9139,19.2466,65.6515,21.2033,71.3203,21.7772,1.70770083,2.077802978,20,14.65429654,8.249003893,3.31119638,4.999999381,45,3.05659
72.0027,19.1565,66.3198,19.1912,66.057,21.1817,71.726,21.7656,1.802995625,2.088292147,19.9999113,15.07465056,7.892536124,3.14161666,4.999997581,45,3.036472
72.4086,19.0841,66.7255,19.1343,66.4623,21.1598,72.1316,21.7542,1.689030361,1.595838015,19.99998839,15.13219201,8.182378716,3.400572525,4.999999974,45,2.928878
72.8144,19.0077,67.1312,19.0755,66.8675,21.1372,72.5372,21.7419,1.760425462,1.623776173,19.99999987,14.75483369,8.101110048,3.759856839,4.999997925,45,2.869047
73.2199,18.9285,67.5368,19.0145,67.2728,21.1137,72.9426,21.7297,2.10320851,1.999604303,19.99999647,13.9482531,8.16410642,3.784831773,4.999999418,45,2.679923
73.6255,18.8451,67.9423,18.9514,67.6781,21.0896,73.3481,21.7168,1.974844958,1.910040273,19.99999974,13.37790857,8.856531658,3.880690065,4.999984731,45,2.611994
74.031,18.7574,68.3478,18.8859,68.0832,21.0647,73.7536,21.7034,1.697653359,1.447833515,19.99998993,15.00016961,8.389126668,3.465226927,4.999999989,45,2.445572
74.4364,18.6656,68.7531,18.8183,68.4883,21.0392,74.1589,21.6896,1.927678753,1.782801868,19.99990914,13.78863077,8.970207605,3.530774095,4.999997769,45,2.226546
74.8418,18.5683,69.1583,18.7481,68.8933,21.0127,74.5644,21.6747,4.180700267,3.521233861,20,11.70649471,7.402038762,3.189534524,4.999997883,45,2.036987
75.2469,18.4669,69.5635,18.6751,69.2984,20.9853,74.9696,21.6602,4.236101139,3.496856517,19.99998926,11.65703467,7.612827428,2.997192672,4.999998319,45,2.025983
75.652,18.3592,69.9685,18.5995,69.7032,20.9572,75.3748,21.6444,3.121532704,2.320809247,19.9999811,13.14655205,8.201546744,3.209578347,4.999999803,45,1.887054
76.057,18.2451,70.3736,18.5204,70.1083,20.9277,75.78,21.6276,3.32758994,2.400439275,19.99999627,13.19300669,7.921533332,3.157434517,4.999999972,45,1.941579
76.4619,18.124,70.7784,18.4387,70.513,20.8975,76.1853,21.6097,1.845671344,16.16247864,19.31028469,6.43370015,5.00000007,1.736479921,4.511385187,45,2.053808
76.8666,17.9965,71.1832,18.3531,70.9179,20.8659,76.5904,21.5919,5.521807555,4.750273129,19.99999998,11.20066045,6.340457415,2.186805776,4.999995688,45,2.216018
77.2712,17.8608,71.5878,18.2644,71.3225,20.8334,76.9954,21.5728,1.784608085,1.661635549,19.99999995,15.2072143,8.155149862,3.191393402,4.999998854,45,2.352665
77.6756,17.7169,71.9924,18.1713,71.7273,20.7994,77.4003,21.5532,1.979072679,1.814246425,19.99999464,15.55593167,7.3490274,3.301727577,4.999999612,45,2.252637
78.0799,17.563,72.3967,18.0746,72.1317,20.7643,77.8053,21.5322,2.628555809,2.841613262,19.99999979,15.79284447,6.115911076,2.621078153,4.999997434,45,2.276934
78.4842,17.3977,72.8011,17.9733,72.5363,20.7276,78.2103,21.5093,1.943087951,1.996496902,19.99999841,16.58016364,6.451615333,3.028642409,4.999995355,45,2.293645
78.8882,17.2209,73.2053,17.8671,72.9408,20.6894,78.6151,21.4852,2.739306869,3.256762084,19.99999828,15.47217054,5.861899807,2.669972547,4.999889878,45,2.566614
79.292,17.0314,73.6094,17.7561,73.3452,20.6496,79.02,21.4602,1.942219618,2.337690273,19.99999931,16.26060152,6.687303225,2.772189071,4.999996988,45,2.770112
79.6956,16.8273,74.0134,17.6392,73.7497,20.6076,79.4247,21.4334,2.569671439,2.674463397,20,15.11180433,6.771694723,2.872382415,4.999983694,45,2.869481
80.0991,16.6063,74.4171,17.5171,74.1539,20.5644,79.8294,21.4043,2.461328495,2.772797818,19.99999996,14.51457179,7.237323318,3.013992747,4.999985869,45,2.715366
